account_id,account_name,industry,country,region,segment,employee_band,created_date,owner_seller_id
A0001,Prime Hotels LLC,Energy,Saudi Arabia,EMEA,Mid-Market,250-999,2022-12-20,S040
A0002,North Labs Holdings,Retail,United States,Americas,Mid-Market,250-999,2021-10-21,S016
A0003,Coral Markets Co.,Energy,Germany,EMEA,SMB,50-249,2021-02-12,S027
A0004,Orbit Labs Inc.,Hospitality,Netherlands,EMEA,Mid-Market,250-999,2024-08-21,S040
A0005,Lumen Industries Co.,Logistics,India,APAC,SMB,50-249,2024-06-02,S032
A0006,Sahara Learning S.A.,Professional Services,Egypt,EMEA,Mid-Market,250-999,2023-03-04,S015
A0007,Prime Logistics Co.,Financial Services,Egypt,EMEA,SMB,50-249,2021-01-23,S004
A0008,Falcon Capital Holdings,Manufacturing,Brazil,Americas,Mid-Market,1000-4999,2021-05-20,S005
A0009,Harbor Clinics Co.,Logistics,Saudi Arabia,EMEA,SMB,50-249,2021-06-23,S031
A0010,Atlas Clinics Ltd,Hospitality,Germany,EMEA,SMB,50-249,2024-01-18,S020
A0011,Vertex Studios Co.,Healthcare,India,APAC,SMB,50-249,2021-11-12,S019
A0012,Coral Retail Inc.,Technology,Saudi Arabia,EMEA,SMB,10-49,2022-01-24,S008
A0013,Pioneer Pharma Holdings,Technology,Canada,Americas,SMB,10-49,2024-08-28,S022
A0014,Harbor Learning S.A.,Technology,Canada,Americas,Mid-Market,250-999,2024-09-21,S033
A0015,Nile Health GmbH,Financial Services,United Kingdom,EMEA,SMB,10-49,2024-03-29,S020
A0016,North Freight LLC,Financial Services,Japan,APAC,Mid-Market,250-999,2022-04-26,S024
A0017,Nova Clinics GmbH,Education,Canada,Americas,SMB,10-49,2023-06-19,S026
A0018,Delta Logistics LLC,Hospitality,Mexico,Americas,Mid-Market,250-999,2021-11-07,S009
A0019,Coral Textiles Holdings,Energy,United Kingdom,EMEA,SMB,50-249,2024-08-23,S004
A0020,Silver Energy LLC,Education,Canada,Americas,Mid-Market,250-999,2021-05-12,S033
A0021,Summit Motors Group,Energy,India,APAC,SMB,10-49,2024-02-29,S023
A0022,Summit Capital Co.,Logistics,Canada,Americas,SMB,50-249,2023-03-05,S029
A0023,Atlas Studios S.A.,Financial Services,Brazil,Americas,Mid-Market,250-999,2024-03-20,S009
A0024,Prime Labs Holdings,Retail,India,APAC,SMB,50-249,2022-12-01,S019
A0025,Blue Studios Holdings,Professional Services,Mexico,Americas,SMB,10-49,2021-09-03,S039
A0026,Sahara Systems Co.,Professional Services,Canada,Americas,Mid-Market,250-999,2024-03-11,S009
A0027,Orbit Pharma Inc.,Energy,Mexico,Americas,Mid-Market,250-999,2023-09-06,S016
A0028,Lumen Textiles Co.,Technology,Brazil,Americas,SMB,10-49,2022-12-22,S011
A0029,Orbit Logistics Ltd,Retail,Canada,Americas,SMB,10-49,2022-08-02,S022
A0030,Zenith Studios Inc.,Logistics,United States,Americas,Mid-Market,250-999,2022-06-18,S033
A0031,Prime Capital LLC,Technology,Brazil,Americas,Mid-Market,250-999,2023-01-17,S005
A0032,Summit Consulting Ltd,Education,Canada,Americas,Mid-Market,250-999,2022-02-10,S005
A0033,Sahara Textiles GmbH,Education,United Arab Emirates,EMEA,SMB,50-249,2022-03-14,S030
A0034,Orbit Logistics S.A.,Hospitality,South Africa,EMEA,Mid-Market,250-999,2022-03-08,S015
A0035,Orbit Consulting Group,Professional Services,Canada,Americas,SMB,10-49,2021-01-20,S022
A0036,Silver Health Inc.,Professional Services,United States,Americas,Mid-Market,1000-4999,2024-12-10,S016
A0037,Nile Energy Ltd,Education,Germany,EMEA,SMB,10-49,2022-01-02,S007
A0038,Zenith Hotels LLC,Healthcare,Singapore,APAC,Mid-Market,250-999,2021-09-14,S003
A0039,Lumen Consulting Holdings,Logistics,Japan,APAC,SMB,10-49,2021-08-23,S012
A0040,Atlas Motors Inc.,Energy,Brazil,Americas,SMB,10-49,2025-03-13,S011
A0041,Silver Media Ltd,Professional Services,United States,Americas,Mid-Market,250-999,2023-01-10,S005
A0042,Lumen Capital Holdings,Technology,United States,Americas,SMB,50-249,2022-05-23,S034
A0043,Nova Systems Inc.,Manufacturing,Brazil,Americas,Mid-Market,250-999,2022-09-19,S009
A0044,Falcon Labs Ltd,Energy,Egypt,EMEA,SMB,10-49,2021-05-18,S001
A0045,Silver Systems GmbH,Healthcare,Saudi Arabia,EMEA,Mid-Market,1000-4999,2022-05-02,S002
A0046,Harbor Markets Ltd,Energy,United States,Americas,SMB,50-249,2022-01-21,S028
A0047,Sahara Pharma Inc.,Education,United States,Americas,SMB,50-249,2024-05-30,S037
A0048,Falcon Health Co.,Energy,South Africa,EMEA,SMB,50-249,2021-04-01,S008
A0049,Silver Textiles Co.,Hospitality,United States,Americas,SMB,10-49,2022-10-22,S011
A0050,Lumen Consulting S.A.,Technology,India,APAC,SMB,50-249,2024-05-10,S012
A0051,Harbor Logistics Co.,Energy,Mexico,Americas,Mid-Market,1000-4999,2024-07-16,S009
A0052,North Media Co.,Professional Services,India,APAC,Mid-Market,250-999,2023-03-06,S003
A0053,North Labs S.A.,Hospitality,Mexico,Americas,Mid-Market,1000-4999,2021-12-12,S033
A0054,Blue Learning Inc.,Manufacturing,India,APAC,SMB,10-49,2022-06-07,S032
A0055,Lumen Capital S.A.,Retail,India,APAC,SMB,10-49,2021-12-11,S019
A0056,Sahara Energy Inc.,Logistics,India,APAC,SMB,10-49,2023-10-24,S032
A0057,Prime Pharma GmbH,Hospitality,Australia,APAC,Mid-Market,250-999,2022-03-30,S006
A0058,Falcon Clinics Group,Technology,United Kingdom,EMEA,Mid-Market,250-999,2023-09-06,S002
A0059,Coral Health LLC,Logistics,Germany,EMEA,SMB,10-49,2023-10-14,S035
A0060,Coral Energy Ltd,Logistics,United Arab Emirates,EMEA,Mid-Market,1000-4999,2024-12-28,S040
A0061,Atlas Clinics GmbH,Professional Services,United States,Americas,SMB,10-49,2022-07-29,S026
A0062,North Freight LLC 61,Hospitality,United Kingdom,EMEA,SMB,10-49,2025-01-30,S020
A0063,Summit Logistics Inc.,Hospitality,United Arab Emirates,EMEA,SMB,10-49,2022-09-14,S004
A0064,Cedar Markets GmbH,Manufacturing,Australia,APAC,SMB,10-49,2023-11-22,S023
A0065,Silver Foods LLC,Logistics,France,EMEA,Mid-Market,250-999,2023-10-24,S025
A0066,Harbor Retail S.A.,Financial Services,Mexico,Americas,Mid-Market,1000-4999,2024-06-22,S016
A0067,Nile Capital Co.,Technology,Germany,EMEA,SMB,10-49,2022-12-29,S020
A0068,Nile Capital Co. 67,Logistics,United States,Americas,SMB,50-249,2024-05-14,S036
